,cell,cell_ontology_class,mouse.id
F14.B002314.3_56_F.1.1,F14.B002314.3_56_F.1.1,macrophage,3_56_F
F14.D043520.3_39_F.1.1,F14.D043520.3_39_F.1.1,B cell,3_39_F
F14.D045064.3_38_F.1.1,F14.D045064.3_38_F.1.1,B cell,3_38_F
F14.MAA000877.3_11_M.1.1,F14.MAA000877.3_11_M.1.1,B cell,3_11_M
F15.B002314.3_56_F.1.1,F15.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
F15.D045064.3_38_F.1.1,F15.D045064.3_38_F.1.1,B cell,3_38_F
F15.MAA000877.3_11_M.1.1,F15.MAA000877.3_11_M.1.1,macrophage,3_11_M
F16.B002314.3_56_F.1.1,F16.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
F16.D045064.3_38_F.1.1,F16.D045064.3_38_F.1.1,myeloid cell,3_38_F
F16.MAA000877.3_11_M.1.1,F16.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
F17.MAA000877.3_11_M.1.1,F17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
F18.MAA000877.3_11_M.1.1,F18.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
F18.MAA000914.3_9_M.1.1,F18.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
F19.MAA000531.3_8_M.1.1,F19.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
F2.B002314.3_56_F.1.1,F2.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
F2.MAA000877.3_11_M.1.1,F2.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
F2.MAA000914.3_9_M.1.1,F2.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
F20.MAA000877.3_11_M.1.1,F20.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
F21.MAA000877.3_11_M.1.1,F21.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
F22.B002314.3_56_F.1.1,F22.B002314.3_56_F.1.1,endothelial cell,3_56_F
F22.MAA000877.3_11_M.1.1,F22.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
F3.D043520.3_39_F.1.1,F3.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
F4.MAA000877.3_11_M.1.1,F4.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
F5.B002314.3_56_F.1.1,F5.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
F5.D043520.3_39_F.1.1,F5.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
F9.B002314.3_56_F.1.1,F9.B002314.3_56_F.1.1,macrophage,3_56_F
F9.D045064.3_38_F.1.1,F9.D045064.3_38_F.1.1,macrophage,3_38_F
F9.MAA000877.3_11_M.1.1,F9.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
G1.B002314.3_56_F.1.1,G1.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
G1.MAA000531.3_8_M.1.1,G1.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
G1.MAA000914.3_9_M.1.1,G1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
G10.B002314.3_56_F.1.1,G10.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
G10.D045064.3_38_F.1.1,G10.D045064.3_38_F.1.1,myeloid cell,3_38_F
G10.MAA000877.3_11_M.1.1,G10.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
G11.D045064.3_38_F.1.1,G11.D045064.3_38_F.1.1,"CD4-positive, alpha-beta T cell",3_38_F
G12.B002314.3_56_F.1.1,G12.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
G12.D043520.3_39_F.1.1,G12.D043520.3_39_F.1.1,myeloid cell,3_39_F
G13.B002314.3_56_F.1.1,G13.B002314.3_56_F.1.1,macrophage,3_56_F
G13.D045064.3_38_F.1.1,G13.D045064.3_38_F.1.1,"CD4-positive, alpha-beta T cell",3_38_F
G13.MAA000877.3_11_M.1.1,G13.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
G13.MAA000914.3_9_M.1.1,G13.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
G14.B002314.3_56_F.1.1,G14.B002314.3_56_F.1.1,macrophage,3_56_F
G14.D045064.3_38_F.1.1,G14.D045064.3_38_F.1.1,B cell,3_38_F
G14.MAA000877.3_11_M.1.1,G14.MAA000877.3_11_M.1.1,B cell,3_11_M
G15.B002314.3_56_F.1.1,G15.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
G15.D043520.3_39_F.1.1,G15.D043520.3_39_F.1.1,"CD8-positive, alpha-beta T cell",3_39_F
G15.D045064.3_38_F.1.1,G15.D045064.3_38_F.1.1,macrophage,3_38_F
G15.MAA000877.3_11_M.1.1,G15.MAA000877.3_11_M.1.1,B cell,3_11_M
G16.B002314.3_56_F.1.1,G16.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
G16.MAA000531.3_8_M.1.1,G16.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
G16.MAA000877.3_11_M.1.1,G16.MAA000877.3_11_M.1.1,B cell,3_11_M
G16.MAA000914.3_9_M.1.1,G16.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
G17.B002314.3_56_F.1.1,G17.B002314.3_56_F.1.1,endothelial cell,3_56_F
G18.MAA000877.3_11_M.1.1,G18.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
G19.MAA000914.3_9_M.1.1,G19.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
G2.B002314.3_56_F.1.1,G2.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
G2.MAA000914.3_9_M.1.1,G2.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
G20.D043520.3_39_F.1.1,G20.D043520.3_39_F.1.1,endothelial cell,3_39_F
G20.MAA000531.3_8_M.1.1,G20.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
G21.MAA000531.3_8_M.1.1,G21.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
G21.MAA000877.3_11_M.1.1,G21.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
G21.MAA000914.3_9_M.1.1,G21.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
G22.B002314.3_56_F.1.1,G22.B002314.3_56_F.1.1,endothelial cell,3_56_F
G22.MAA000531.3_8_M.1.1,G22.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
G3.B002314.3_56_F.1.1,G3.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
G3.D045064.3_38_F.1.1,G3.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
G5.D045064.3_38_F.1.1,G5.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
G5.MAA000877.3_11_M.1.1,G5.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
G6.D043520.3_39_F.1.1,G6.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
G6.D045064.3_38_F.1.1,G6.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
G6.MAA000531.3_8_M.1.1,G6.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
G7.MAA000914.3_9_M.1.1,G7.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
G8.B002314.3_56_F.1.1,G8.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
G8.D045064.3_38_F.1.1,G8.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
G8.MAA000531.3_8_M.1.1,G8.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
G8.MAA000914.3_9_M.1.1,G8.MAA000914.3_9_M.1.1,B cell,3_9_M
G9.B002314.3_56_F.1.1,G9.B002314.3_56_F.1.1,macrophage,3_56_F
G9.D045064.3_38_F.1.1,G9.D045064.3_38_F.1.1,myeloid cell,3_38_F
G9.MAA000877.3_11_M.1.1,G9.MAA000877.3_11_M.1.1,B cell,3_11_M
H1.D043520.3_39_F.1.1,H1.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
H1.MAA000531.3_8_M.1.1,H1.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
H1.MAA000877.3_11_M.1.1,H1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
H10.MAA000877.3_11_M.1.1,H10.MAA000877.3_11_M.1.1,B cell,3_11_M
H10.MAA000914.3_9_M.1.1,H10.MAA000914.3_9_M.1.1,B cell,3_9_M
H11.MAA000914.3_9_M.1.1,H11.MAA000914.3_9_M.1.1,B cell,3_9_M
H12.B002314.3_56_F.1.1,H12.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
H12.D043520.3_39_F.1.1,H12.D043520.3_39_F.1.1,macrophage,3_39_F
H12.MAA000914.3_9_M.1.1,H12.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
H13.B002314.3_56_F.1.1,H13.B002314.3_56_F.1.1,macrophage,3_56_F
H13.D045064.3_38_F.1.1,H13.D045064.3_38_F.1.1,myeloid cell,3_38_F
H13.MAA000877.3_11_M.1.1,H13.MAA000877.3_11_M.1.1,B cell,3_11_M
H14.B002314.3_56_F.1.1,H14.B002314.3_56_F.1.1,macrophage,3_56_F
H14.D043520.3_39_F.1.1,H14.D043520.3_39_F.1.1,"CD8-positive, alpha-beta T cell",3_39_F
H14.D045064.3_38_F.1.1,H14.D045064.3_38_F.1.1,myeloid cell,3_38_F
H14.MAA000877.3_11_M.1.1,H14.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
H14.MAA000914.3_9_M.1.1,H14.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
H15.D045064.3_38_F.1.1,H15.D045064.3_38_F.1.1,myeloid cell,3_38_F
H16.D043520.3_39_F.1.1,H16.D043520.3_39_F.1.1,myeloid cell,3_39_F
H16.MAA000877.3_11_M.1.1,H16.MAA000877.3_11_M.1.1,B cell,3_11_M
H17.MAA000877.3_11_M.1.1,H17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
H18.B002314.3_56_F.1.1,H18.B002314.3_56_F.1.1,endothelial cell,3_56_F
H19.B002314.3_56_F.1.1,H19.B002314.3_56_F.1.1,endothelial cell,3_56_F
H19.MAA000877.3_11_M.1.1,H19.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
H2.MAA000531.3_8_M.1.1,H2.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
H21.MAA000531.3_8_M.1.1,H21.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
H22.B002314.3_56_F.1.1,H22.B002314.3_56_F.1.1,endothelial cell,3_56_F
H22.MAA000914.3_9_M.1.1,H22.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
H4.D043520.3_39_F.1.1,H4.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
H4.MAA000914.3_9_M.1.1,H4.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
H5.D043520.3_39_F.1.1,H5.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
H5.D045064.3_38_F.1.1,H5.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
H5.MAA000914.3_9_M.1.1,H5.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
H6.D043520.3_39_F.1.1,H6.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
H6.MAA000914.3_9_M.1.1,H6.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
H7.MAA000914.3_9_M.1.1,H7.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
H8.D045064.3_38_F.1.1,H8.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
H9.B002314.3_56_F.1.1,H9.B002314.3_56_F.1.1,myeloid cell,3_56_F
H9.MAA000531.3_8_M.1.1,H9.MAA000531.3_8_M.1.1,"CD4-positive, alpha-beta T cell",3_8_M
H9.MAA000877.3_11_M.1.1,H9.MAA000877.3_11_M.1.1,B cell,3_11_M
I1.MAA000914.3_9_M.1.1,I1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
I10.B002314.3_56_F.1.1,I10.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
I10.D045064.3_38_F.1.1,I10.D045064.3_38_F.1.1,"CD4-positive, alpha-beta T cell",3_38_F
I10.MAA000531.3_8_M.1.1,I10.MAA000531.3_8_M.1.1,macrophage,3_8_M
I10.MAA000877.3_11_M.1.1,I10.MAA000877.3_11_M.1.1,B cell,3_11_M
I12.B002314.3_56_F.1.1,I12.B002314.3_56_F.1.1,myeloid cell,3_56_F
I12.D045064.3_38_F.1.1,I12.D045064.3_38_F.1.1,macrophage,3_38_F
I12.MAA000877.3_11_M.1.1,I12.MAA000877.3_11_M.1.1,B cell,3_11_M
I13.B002314.3_56_F.1.1,I13.B002314.3_56_F.1.1,macrophage,3_56_F
I13.D043520.3_39_F.1.1,I13.D043520.3_39_F.1.1,macrophage,3_39_F
I13.MAA000877.3_11_M.1.1,I13.MAA000877.3_11_M.1.1,B cell,3_11_M
I14.B002314.3_56_F.1.1,I14.B002314.3_56_F.1.1,B cell,3_56_F
I15.B002314.3_56_F.1.1,I15.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
I15.MAA000877.3_11_M.1.1,I15.MAA000877.3_11_M.1.1,B cell,3_11_M
I16.D043520.3_39_F.1.1,I16.D043520.3_39_F.1.1,macrophage,3_39_F
I16.D045064.3_38_F.1.1,I16.D045064.3_38_F.1.1,myeloid cell,3_38_F
I16.MAA000877.3_11_M.1.1,I16.MAA000877.3_11_M.1.1,macrophage,3_11_M
I17.B002314.3_56_F.1.1,I17.B002314.3_56_F.1.1,endothelial cell,3_56_F
I17.MAA000877.3_11_M.1.1,I17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
I18.B002314.3_56_F.1.1,I18.B002314.3_56_F.1.1,endothelial cell,3_56_F
I18.MAA000877.3_11_M.1.1,I18.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
I19.B002314.3_56_F.1.1,I19.B002314.3_56_F.1.1,endothelial cell,3_56_F
I19.D043520.3_39_F.1.1,I19.D043520.3_39_F.1.1,endothelial cell,3_39_F
I21.MAA000531.3_8_M.1.1,I21.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
I3.D043520.3_39_F.1.1,I3.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
I3.MAA000877.3_11_M.1.1,I3.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
I4.MAA000531.3_8_M.1.1,I4.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
I5.MAA000877.3_11_M.1.1,I5.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
I7.B002314.3_56_F.1.1,I7.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
I7.MAA000531.3_8_M.1.1,I7.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
I8.B002314.3_56_F.1.1,I8.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
I9.B002314.3_56_F.1.1,I9.B002314.3_56_F.1.1,myeloid cell,3_56_F
I9.MAA000531.3_8_M.1.1,I9.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
I9.MAA000877.3_11_M.1.1,I9.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
I9.MAA000914.3_9_M.1.1,I9.MAA000914.3_9_M.1.1,macrophage,3_9_M
J1.MAA000914.3_9_M.1.1,J1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
J10.B002314.3_56_F.1.1,J10.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
J10.D043520.3_39_F.1.1,J10.D043520.3_39_F.1.1,myeloid cell,3_39_F
J10.MAA000877.3_11_M.1.1,J10.MAA000877.3_11_M.1.1,B cell,3_11_M
J11.B002314.3_56_F.1.1,J11.B002314.3_56_F.1.1,B cell,3_56_F
J11.D045064.3_38_F.1.1,J11.D045064.3_38_F.1.1,myeloid cell,3_38_F
J11.MAA000877.3_11_M.1.1,J11.MAA000877.3_11_M.1.1,B cell,3_11_M
J13.B002314.3_56_F.1.1,J13.B002314.3_56_F.1.1,myeloid cell,3_56_F
J13.MAA000877.3_11_M.1.1,J13.MAA000877.3_11_M.1.1,B cell,3_11_M
J14.B002314.3_56_F.1.1,J14.B002314.3_56_F.1.1,B cell,3_56_F
J14.D043520.3_39_F.1.1,J14.D043520.3_39_F.1.1,macrophage,3_39_F
J14.D045064.3_38_F.1.1,J14.D045064.3_38_F.1.1,myeloid cell,3_38_F
J14.MAA000877.3_11_M.1.1,J14.MAA000877.3_11_M.1.1,macrophage,3_11_M
J15.B002314.3_56_F.1.1,J15.B002314.3_56_F.1.1,myeloid cell,3_56_F
J15.D045064.3_38_F.1.1,J15.D045064.3_38_F.1.1,macrophage,3_38_F
J15.MAA000877.3_11_M.1.1,J15.MAA000877.3_11_M.1.1,B cell,3_11_M
J16.B002314.3_56_F.1.1,J16.B002314.3_56_F.1.1,myeloid cell,3_56_F
J2.MAA000877.3_11_M.1.1,J2.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
J20.B002314.3_56_F.1.1,J20.B002314.3_56_F.1.1,endothelial cell,3_56_F
J20.D045064.3_38_F.1.1,J20.D045064.3_38_F.1.1,endothelial cell,3_38_F
J20.MAA000531.3_8_M.1.1,J20.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
J21.B002314.3_56_F.1.1,J21.B002314.3_56_F.1.1,endothelial cell,3_56_F
J22.B002314.3_56_F.1.1,J22.B002314.3_56_F.1.1,endothelial cell,3_56_F
J22.MAA000531.3_8_M.1.1,J22.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
J3.MAA000914.3_9_M.1.1,J3.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
J4.D043520.3_39_F.1.1,J4.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
J4.MAA000877.3_11_M.1.1,J4.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
J8.B002314.3_56_F.1.1,J8.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
J8.D045064.3_38_F.1.1,J8.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
J9.MAA000531.3_8_M.1.1,J9.MAA000531.3_8_M.1.1,macrophage,3_8_M
J9.MAA000877.3_11_M.1.1,J9.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
K1.MAA000877.3_11_M.1.1,K1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K10.D045064.3_38_F.1.1,K10.D045064.3_38_F.1.1,macrophage,3_38_F
K10.MAA000877.3_11_M.1.1,K10.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
K11.B002314.3_56_F.1.1,K11.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
K11.MAA000877.3_11_M.1.1,K11.MAA000877.3_11_M.1.1,B cell,3_11_M
K12.B002314.3_56_F.1.1,K12.B002314.3_56_F.1.1,myeloid cell,3_56_F
K12.D045064.3_38_F.1.1,K12.D045064.3_38_F.1.1,macrophage,3_38_F
K12.MAA000877.3_11_M.1.1,K12.MAA000877.3_11_M.1.1,B cell,3_11_M
K13.D043520.3_39_F.1.1,K13.D043520.3_39_F.1.1,myeloid cell,3_39_F
K14.B002314.3_56_F.1.1,K14.B002314.3_56_F.1.1,macrophage,3_56_F
K14.MAA000877.3_11_M.1.1,K14.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
K15.B002314.3_56_F.1.1,K15.B002314.3_56_F.1.1,myeloid cell,3_56_F
K15.D045064.3_38_F.1.1,K15.D045064.3_38_F.1.1,myeloid cell,3_38_F
K15.MAA000877.3_11_M.1.1,K15.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
K16.B002314.3_56_F.1.1,K16.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
K16.D045064.3_38_F.1.1,K16.D045064.3_38_F.1.1,myeloid cell,3_38_F
K18.D045064.3_38_F.1.1,K18.D045064.3_38_F.1.1,endothelial cell,3_38_F
K18.MAA000877.3_11_M.1.1,K18.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
K19.MAA000877.3_11_M.1.1,K19.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
K19.MAA000914.3_9_M.1.1,K19.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
K2.MAA000877.3_11_M.1.1,K2.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K2.MAA000914.3_9_M.1.1,K2.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K21.MAA000531.3_8_M.1.1,K21.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
K22.MAA000531.3_8_M.1.1,K22.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
K22.MAA000877.3_11_M.1.1,K22.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
K3.MAA000531.3_8_M.1.1,K3.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K3.MAA000914.3_9_M.1.1,K3.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K4.B002314.3_56_F.1.1,K4.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
K4.MAA000531.3_8_M.1.1,K4.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K4.MAA000877.3_11_M.1.1,K4.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K4.MAA000914.3_9_M.1.1,K4.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K5.MAA000531.3_8_M.1.1,K5.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K5.MAA000877.3_11_M.1.1,K5.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K6.B002314.3_56_F.1.1,K6.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
K6.D045064.3_38_F.1.1,K6.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
K6.MAA000877.3_11_M.1.1,K6.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K7.MAA000531.3_8_M.1.1,K7.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K9.B002314.3_56_F.1.1,K9.B002314.3_56_F.1.1,B cell,3_56_F
K9.D045064.3_38_F.1.1,K9.D045064.3_38_F.1.1,B cell,3_38_F
K9.MAA000531.3_8_M.1.1,K9.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
K9.MAA000877.3_11_M.1.1,K9.MAA000877.3_11_M.1.1,macrophage,3_11_M
L1.B002314.3_56_F.1.1,L1.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
L1.D045064.3_38_F.1.1,L1.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
L1.MAA000914.3_9_M.1.1,L1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
L10.B002314.3_56_F.1.1,L10.B002314.3_56_F.1.1,B cell,3_56_F
L10.MAA000877.3_11_M.1.1,L10.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
L11.B002314.3_56_F.1.1,L11.B002314.3_56_F.1.1,B cell,3_56_F
L11.MAA000877.3_11_M.1.1,L11.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
L12.B002314.3_56_F.1.1,L12.B002314.3_56_F.1.1,macrophage,3_56_F
L12.D043520.3_39_F.1.1,L12.D043520.3_39_F.1.1,myeloid cell,3_39_F
L12.D045064.3_38_F.1.1,L12.D045064.3_38_F.1.1,B cell,3_38_F
L13.B002314.3_56_F.1.1,L13.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
L13.D045064.3_38_F.1.1,L13.D045064.3_38_F.1.1,myeloid cell,3_38_F
L13.MAA000914.3_9_M.1.1,L13.MAA000914.3_9_M.1.1,B cell,3_9_M
L14.B002314.3_56_F.1.1,L14.B002314.3_56_F.1.1,myeloid cell,3_56_F
L14.MAA000877.3_11_M.1.1,L14.MAA000877.3_11_M.1.1,B cell,3_11_M
L14.MAA000914.3_9_M.1.1,L14.MAA000914.3_9_M.1.1,macrophage,3_9_M
L15.MAA000531.3_8_M.1.1,L15.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
L15.MAA000877.3_11_M.1.1,L15.MAA000877.3_11_M.1.1,B cell,3_11_M
L15.MAA000914.3_9_M.1.1,L15.MAA000914.3_9_M.1.1,macrophage,3_9_M
L16.B002314.3_56_F.1.1,L16.B002314.3_56_F.1.1,macrophage,3_56_F
L16.D043520.3_39_F.1.1,L16.D043520.3_39_F.1.1,macrophage,3_39_F
L16.MAA000877.3_11_M.1.1,L16.MAA000877.3_11_M.1.1,B cell,3_11_M
L17.MAA000531.3_8_M.1.1,L17.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
L17.MAA000877.3_11_M.1.1,L17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
L18.MAA000877.3_11_M.1.1,L18.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
L19.MAA000531.3_8_M.1.1,L19.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
L2.B002314.3_56_F.1.1,L2.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
L20.MAA000877.3_11_M.1.1,L20.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
L21.MAA000531.3_8_M.1.1,L21.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
L22.D045064.3_38_F.1.1,L22.D045064.3_38_F.1.1,endothelial cell,3_38_F
L22.MAA000531.3_8_M.1.1,L22.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
L3.B002314.3_56_F.1.1,L3.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
L4.MAA000877.3_11_M.1.1,L4.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
L5.B002314.3_56_F.1.1,L5.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
L5.MAA000877.3_11_M.1.1,L5.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
L8.D045064.3_38_F.1.1,L8.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
L9.MAA000877.3_11_M.1.1,L9.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
M1.B002314.3_56_F.1.1,M1.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
M1.MAA000531.3_8_M.1.1,M1.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
M1.MAA000877.3_11_M.1.1,M1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
M1.MAA000914.3_9_M.1.1,M1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
